ID,車名,支払総額,車両価格,諸費用,色,年式,走行距離,地域,車検,ミッション,駆動方式,整備ノート,排気量,法定整備,動力,修復歴,ワンオーナー,未使用車,禁煙車,外装,内装,機関,修理歴,カーナビ,ETC,スマートキー,盗難防止システム,アイドリングストップ,100V電源,USB入力端子,Bluetooth接続,音楽プレイヤー接続可,CDデッキ,DVDデッキ,テレビ,パワーステアリング,パワーウィンドウ,寒冷地仕様,本革シート,ハーフレザーシート,パワーシート,ベンチシート,フルフラット,シートエアコン,シートヒーター,ローダウン,電動リアゲート,サンルーフ,ディスチャージドランプ,LEDヘッドランプ,アルミホイール,エアロパーツ,エアバッグ,ドライブレコーダー,バックモニターカメラ,全周囲カメラ,フロントカメラ,サイドカメラ,横滑り防止装置,衝突安全ボディ,衝突被害軽減システム,ABS,クルーズコントロール,アダプティブクルーズコントロール,クリアランスソナー,オートライト,レーンアシスト,パークアシスト,自動駐車システム
351,プリウス Ｇ,364.8,357.1,7.7,プラチナホワイトパールマイカ,2023,2,和歌山県,2026/03,AT,2WD,1,2000cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
352,プリウス Ａ,238.2,228,10.2,ホワイトパールクリスタルシャイン,2020,1.1,大阪府,2025/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
353,プリウス Ａツーリングセレクション,268,259.8,8.2,アティチュードブラックマイカ,2021,4.2,京都府,2026/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
354,プリウス Ａツーリングセレクション・ブラックエディション,302.9,289.8,13.1,ブラック,2022,1.4,奈良県,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
355,プリウス Ｓツーリングセレクションブラックエディション,292.1,279.9,12.2,プレシャスブラックパール,2022,1.9,和歌山県,2025/08,AT,2WD,1,1800cc,1,ガソリン,0,1,0,0,5,5,正常,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
356,プリウス Ｇツーリングセレクション,119.9,102.7,17.2,ホワイトパールクリスタルシャイン,2013,6.5,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
357,プリウス Ｓ,190.1,179.8,10.3,ブラック,2020,4.9,大阪府,2025/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,4,正常,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
358,プリウス Ｓツーリングセレクション,226.7,218,8.7,パールホワイト,2020,3.1,奈良県,2025/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
359,プリウス Ａツーリングセレクション・ブラックエディション,298.5,289.3,9.2,プレシャスブラックパール,2022,1.5,和歌山県,2025/01,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
360,プリウス ＳセーフティプラスＩＩ,219.9,208.7,11.2,プラチナホワイトパールマイカ,2020,2.8,兵庫県,2025/09,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,4,5,正常,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
